"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 03 17:33:35 CST 2021","Thu Jun 03 17:33:42 CST 2021","7327","","test_login","TestLogin","","","账号密码错误登录",""
"passed","Thu Jun 03 17:33:20 CST 2021","Thu Jun 03 17:33:33 CST 2021","13138","","test_login","TestLogin","","","账号密码错误登录",""
"passed","Thu Jun 03 17:34:47 CST 2021","Thu Jun 03 17:34:54 CST 2021","6543","","test_login","TestLogin","","","验证错错误登录",""
"passed","Thu Jun 03 17:33:44 CST 2021","Thu Jun 03 17:33:51 CST 2021","7161","","test_login","TestLogin","","","账号密码错误登录",""
"passed","Thu Jun 03 17:34:39 CST 2021","Thu Jun 03 17:34:46 CST 2021","6538","","test_login","TestLogin","","","验证错错误登录",""
"passed","Thu Jun 03 17:33:52 CST 2021","Thu Jun 03 17:34:01 CST 2021","8401","","test_login","TestLogin","","","账号密码错误登录",""
"passed","Thu Jun 03 17:34:02 CST 2021","Thu Jun 03 17:34:10 CST 2021","7977","","test_login","TestLogin","","","账号密码正确登录",""
"passed","Thu Jun 03 17:34:12 CST 2021","Thu Jun 03 17:34:23 CST 2021","11283","","test_login","TestLogin","","","一键登录",""
"broken","Thu Jun 03 17:35:03 CST 2021","Thu Jun 03 17:35:17 CST 2021","13465","","test_login","TestLogin","","","验证码正确登录",""
"passed","Thu Jun 03 17:34:55 CST 2021","Thu Jun 03 17:35:02 CST 2021","6931","","test_login","TestLogin","","","验证错错误登录",""
"passed","Thu Jun 03 17:34:25 CST 2021","Thu Jun 03 17:34:38 CST 2021","12631","","test_login","TestLogin","","","验证错错误登录",""
