"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 04 16:15:32 CST 2021","Fri Jun 04 16:15:32 CST 2021","0","TestCase","test_login","TestLogin","","","一键登录",""
"broken","Fri Jun 04 16:16:13 CST 2021","Fri Jun 04 16:16:13 CST 2021","0","TestCase","test_login","TestLogin","","","验证码正确登录",""
"broken","Fri Jun 04 16:16:49 CST 2021","Fri Jun 04 16:18:39 CST 2021","110083","TestCase","test_booksmall","TestMall","","","书籍商城-商品列表",""
"passed","Fri Jun 04 16:16:38 CST 2021","Fri Jun 04 16:16:39 CST 2021","1179","TestCase","test_booksmall","TestMall","","","test_go_booksMall",""
"broken","Fri Jun 04 16:15:49 CST 2021","Fri Jun 04 16:15:49 CST 2021","0","TestCase","test_login","TestLogin","","","验证错错误登录",""
"broken","Fri Jun 04 16:15:57 CST 2021","Fri Jun 04 16:15:57 CST 2021","0","TestCase","test_login","TestLogin","","","验证错错误登录",""
"broken","Fri Jun 04 16:15:24 CST 2021","Fri Jun 04 16:15:24 CST 2021","0","TestCase","test_login","TestLogin","","","账号密码正确登录",""
"passed","Fri Jun 04 16:15:01 CST 2021","Fri Jun 04 16:15:08 CST 2021","7451","TestCase","test_login","TestLogin","","","账号密码错误登录",""
"broken","Fri Jun 04 16:15:40 CST 2021","Fri Jun 04 16:15:40 CST 2021","0","TestCase","test_login","TestLogin","","","验证错错误登录",""
"broken","Fri Jun 04 16:19:31 CST 2021","Fri Jun 04 16:20:04 CST 2021","32969","TestCase","test_booksmall","TestMall","","","书籍商城-商品列表",""
"broken","Fri Jun 04 16:16:05 CST 2021","Fri Jun 04 16:16:05 CST 2021","0","TestCase","test_login","TestLogin","","","验证错错误登录",""
"passed","Fri Jun 04 16:14:52 CST 2021","Fri Jun 04 16:14:59 CST 2021","6799","TestCase","test_login","TestLogin","","","账号密码错误登录",""
"broken","Fri Jun 04 16:19:06 CST 2021","Fri Jun 04 16:19:29 CST 2021","22977","TestCase","test_booksmall","TestMall","","","书籍商城-商品列表",""
"broken","Fri Jun 04 16:18:41 CST 2021","Fri Jun 04 16:19:04 CST 2021","23281","TestCase","test_booksmall","TestMall","","","书籍商城-商品列表",""
"passed","Fri Jun 04 16:14:37 CST 2021","Fri Jun 04 16:14:50 CST 2021","13603","TestCase","test_login","TestLogin","","","账号密码错误登录",""
"broken","Fri Jun 04 16:15:10 CST 2021","Fri Jun 04 16:15:22 CST 2021","12559","TestCase","test_login","TestLogin","","","账号密码错误登录",""
